Timestamp,Date,Week,Month,Event_Type,Severity,Asset,Source
2024-04-12 19:09:00,2024-04-12,15,2024-04,Port Scan,High,Firewall,IDS
2024-01-05 02:38:00,2024-01-05,1,2024-01,Port Scan,Critical,DB-Server,EDR
2024-10-09 18:28:00,2024-10-09,41,2024-10,Policy Violation,High,Firewall,IDS
2024-08-04 01:47:00,2024-08-04,31,2024-08,Port Scan,Low,Firewall,EDR
2024-07-25 15:45:00,2024-07-25,30,2024-07,Port Scan,High,Endpoint,EDR
2024-07-11 09:51:00,2024-07-11,28,2024-07,Policy Violation,Critical,DB-Server,SIEM
2024-11-23 19:08:00,2024-11-23,47,2024-11,Port Scan,Medium,Endpoint,Firewall
2024-01-13 05:55:00,2024-01-13,2,2024-01,Port Scan,Medium,DB-Server,Firewall
2024-07-18 08:49:00,2024-07-18,29,2024-07,Malware Detected,Medium,Endpoint,EDR
2024-12-11 06:56:00,2024-12-11,50,2024-12,Login Failure,Low,DB-Server,IDS
2024-05-14 11:06:00,2024-05-14,20,2024-05,Policy Violation,Critical,Firewall,Firewall
2024-09-25 12:50:00,2024-09-25,39,2024-09,Port Scan,High,Endpoint,IDS
2024-06-13 12:17:00,2024-06-13,24,2024-06,Malware Detected,Low,DB-Server,SIEM
2024-09-03 10:25:00,2024-09-03,36,2024-09,Login Failure,High,Firewall,EDR
2024-02-05 22:33:00,2024-02-05,6,2024-02,Malware Detected,High,Endpoint,IDS
2024-06-27 19:10:00,2024-06-27,26,2024-06,Policy Violation,Medium,DB-Server,SIEM
2024-08-22 04:49:00,2024-08-22,34,2024-08,Port Scan,High,Endpoint,IDS
2024-12-18 19:51:00,2024-12-18,51,2024-12,Login Failure,Critical,Endpoint,SIEM
2024-10-05 13:36:00,2024-10-05,40,2024-10,Login Failure,High,Endpoint,SIEM
2024-03-12 12:07:00,2024-03-12,11,2024-03,Login Failure,High,DB-Server,Firewall
2024-01-25 21:59:00,2024-01-25,4,2024-01,Port Scan,Medium,DB-Server,Firewall
2024-09-18 08:43:00,2024-09-18,38,2024-09,Policy Violation,High,Firewall,EDR
2024-08-28 10:46:00,2024-08-28,35,2024-08,Malware Detected,Critical,Endpoint,IDS
2024-02-10 07:08:00,2024-02-10,6,2024-02,Port Scan,Medium,DB-Server,EDR
2024-03-27 17:49:00,2024-03-27,13,2024-03,Policy Violation,Critical,Web-Server,IDS
2024-02-04 18:27:00,2024-02-04,5,2024-02,Malware Detected,Low,Web-Server,IDS
2024-07-27 16:28:00,2024-07-27,30,2024-07,Policy Violation,Critical,Endpoint,SIEM
2024-04-11 11:32:00,2024-04-11,15,2024-04,Port Scan,High,Web-Server,SIEM
2024-06-23 01:43:00,2024-06-23,25,2024-06,Port Scan,Low,Firewall,EDR
2024-01-25 01:33:00,2024-01-25,4,2024-01,Login Failure,Low,Endpoint,Firewall
2024-08-20 10:23:00,2024-08-20,34,2024-08,Login Failure,High,Firewall,SIEM
2024-06-29 04:30:00,2024-06-29,26,2024-06,Port Scan,Medium,Web-Server,EDR
2024-10-10 06:07:00,2024-10-10,41,2024-10,Malware Detected,Medium,DB-Server,EDR
2024-07-19 02:51:00,2024-07-19,29,2024-07,Port Scan,Critical,Web-Server,EDR
2024-04-16 06:50:00,2024-04-16,16,2024-04,Policy Violation,High,Web-Server,SIEM
2024-06-09 02:35:00,2024-06-09,23,2024-06,Malware Detected,Critical,Endpoint,Firewall
2024-07-21 01:26:00,2024-07-21,29,2024-07,Policy Violation,Critical,DB-Server,Firewall
2024-01-08 07:34:00,2024-01-08,2,2024-01,Login Failure,Medium,Firewall,EDR
2024-06-04 00:25:00,2024-06-04,23,2024-06,Port Scan,Medium,Endpoint,SIEM
2024-10-13 11:47:00,2024-10-13,41,2024-10,Policy Violation,Critical,Web-Server,SIEM
2024-02-15 01:05:00,2024-02-15,7,2024-02,Port Scan,High,Web-Server,Firewall
2024-04-09 12:25:00,2024-04-09,15,2024-04,Port Scan,High,DB-Server,EDR
2024-03-06 08:37:00,2024-03-06,10,2024-03,Port Scan,High,Firewall,EDR
2024-07-07 01:34:00,2024-07-07,27,2024-07,Port Scan,High,Endpoint,Firewall
2024-04-21 02:19:00,2024-04-21,16,2024-04,Policy Violation,Medium,Firewall,Firewall
2024-07-29 08:09:00,2024-07-29,31,2024-07,Login Failure,High,Web-Server,SIEM
2024-06-06 17:49:00,2024-06-06,23,2024-06,Login Failure,Low,DB-Server,SIEM
2024-03-08 06:24:00,2024-03-08,10,2024-03,Login Failure,Critical,Firewall,EDR
2024-11-24 22:10:00,2024-11-24,47,2024-11,Policy Violation,Critical,Web-Server,SIEM
2024-03-16 05:43:00,2024-03-16,11,2024-03,Login Failure,Critical,Endpoint,Firewall
2024-02-11 20:48:00,2024-02-11,6,2024-02,Policy Violation,Medium,DB-Server,IDS
2024-03-25 05:46:00,2024-03-25,13,2024-03,Malware Detected,Low,Endpoint,EDR
2024-10-19 19:37:00,2024-10-19,42,2024-10,Port Scan,Medium,Web-Server,SIEM
2024-02-03 02:21:00,2024-02-03,5,2024-02,Malware Detected,Critical,Endpoint,Firewall
2024-05-27 19:09:00,2024-05-27,22,2024-05,Malware Detected,High,Endpoint,SIEM
2024-04-11 05:40:00,2024-04-11,15,2024-04,Login Failure,Low,Firewall,EDR
2024-11-11 14:09:00,2024-11-11,46,2024-11,Port Scan,Low,Firewall,EDR
2024-09-21 16:49:00,2024-09-21,38,2024-09,Port Scan,Low,Firewall,EDR
2024-08-21 01:02:00,2024-08-21,34,2024-08,Malware Detected,Low,DB-Server,EDR
2024-11-13 22:03:00,2024-11-13,46,2024-11,Malware Detected,Low,Endpoint,EDR
2024-03-13 16:27:00,2024-03-13,11,2024-03,Policy Violation,Critical,DB-Server,SIEM
2024-06-07 01:40:00,2024-06-07,23,2024-06,Policy Violation,Low,DB-Server,SIEM
2024-12-13 23:35:00,2024-12-13,50,2024-12,Policy Violation,Medium,Firewall,Firewall
2024-09-16 17:19:00,2024-09-16,38,2024-09,Port Scan,High,Web-Server,IDS
2024-08-08 19:35:00,2024-08-08,32,2024-08,Login Failure,High,DB-Server,SIEM
2024-03-01 21:56:00,2024-03-01,9,2024-03,Malware Detected,Medium,Endpoint,EDR
2024-12-07 08:38:00,2024-12-07,49,2024-12,Policy Violation,High,Endpoint,IDS
2024-09-08 13:37:00,2024-09-08,36,2024-09,Port Scan,Medium,Web-Server,Firewall
2024-03-20 12:03:00,2024-03-20,12,2024-03,Malware Detected,Critical,Web-Server,Firewall
2024-06-04 19:45:00,2024-06-04,23,2024-06,Login Failure,Critical,DB-Server,EDR
2024-10-25 13:26:00,2024-10-25,43,2024-10,Login Failure,Critical,Endpoint,EDR
2024-04-01 10:58:00,2024-04-01,14,2024-04,Policy Violation,High,Endpoint,SIEM
2024-06-17 13:47:00,2024-06-17,25,2024-06,Malware Detected,Low,Firewall,Firewall
2024-04-03 18:53:00,2024-04-03,14,2024-04,Port Scan,Low,Web-Server,IDS
2024-06-05 10:44:00,2024-06-05,23,2024-06,Port Scan,Medium,Firewall,EDR
2024-12-02 12:40:00,2024-12-02,49,2024-12,Port Scan,Critical,Firewall,Firewall
2024-07-13 13:56:00,2024-07-13,28,2024-07,Policy Violation,Low,Firewall,Firewall
2024-11-29 19:26:00,2024-11-29,48,2024-11,Port Scan,High,Web-Server,EDR
2024-01-21 09:21:00,2024-01-21,3,2024-01,Policy Violation,Medium,Firewall,EDR
2024-10-14 08:23:00,2024-10-14,42,2024-10,Policy Violation,Medium,Endpoint,IDS
2024-05-21 14:51:00,2024-05-21,21,2024-05,Malware Detected,Critical,Firewall,Firewall
2024-09-12 07:46:00,2024-09-12,37,2024-09,Login Failure,Medium,DB-Server,IDS
2024-10-25 02:45:00,2024-10-25,43,2024-10,Port Scan,Low,Endpoint,Firewall
2024-04-07 21:30:00,2024-04-07,14,2024-04,Malware Detected,Critical,DB-Server,SIEM
2024-02-24 17:53:00,2024-02-24,8,2024-02,Policy Violation,Low,Web-Server,EDR
2024-05-13 21:48:00,2024-05-13,20,2024-05,Malware Detected,Critical,Endpoint,Firewall
2024-10-26 09:01:00,2024-10-26,43,2024-10,Malware Detected,High,Web-Server,EDR
2024-11-13 06:29:00,2024-11-13,46,2024-11,Policy Violation,Low,Firewall,IDS
2024-02-16 02:43:00,2024-02-16,7,2024-02,Login Failure,Medium,Firewall,EDR
2024-09-20 23:48:00,2024-09-20,38,2024-09,Malware Detected,Medium,Web-Server,EDR
2024-12-01 09:06:00,2024-12-01,48,2024-12,Port Scan,High,DB-Server,SIEM
2024-09-15 18:15:00,2024-09-15,37,2024-09,Port Scan,High,Endpoint,Firewall
2024-01-01 09:43:00,2024-01-01,1,2024-01,Malware Detected,Medium,DB-Server,EDR
2024-12-19 11:08:00,2024-12-19,51,2024-12,Port Scan,High,Web-Server,EDR
2024-09-17 09:57:00,2024-09-17,38,2024-09,Malware Detected,High,Firewall,EDR
2024-12-03 04:59:00,2024-12-03,49,2024-12,Malware Detected,Critical,DB-Server,IDS
2024-07-03 06:00:00,2024-07-03,27,2024-07,Malware Detected,Low,Web-Server,Firewall
2024-06-19 12:13:00,2024-06-19,25,2024-06,Malware Detected,High,Firewall,EDR
2024-06-30 16:40:00,2024-06-30,26,2024-06,Port Scan,High,Endpoint,EDR
2024-06-15 23:07:00,2024-06-15,24,2024-06,Malware Detected,Critical,Firewall,IDS
2024-12-28 03:39:00,2024-12-28,52,2024-12,Policy Violation,Medium,Web-Server,SIEM
2024-04-29 21:32:00,2024-04-29,18,2024-04,Port Scan,Low,Endpoint,SIEM
2024-05-13 23:40:00,2024-05-13,20,2024-05,Login Failure,Medium,DB-Server,EDR
2024-02-18 21:15:00,2024-02-18,7,2024-02,Malware Detected,Critical,Firewall,EDR
2024-12-18 23:13:00,2024-12-18,51,2024-12,Login Failure,Medium,Endpoint,EDR
2024-01-12 06:59:00,2024-01-12,2,2024-01,Login Failure,Low,Endpoint,EDR
2024-07-11 18:33:00,2024-07-11,28,2024-07,Login Failure,High,Web-Server,SIEM
2024-06-02 06:02:00,2024-06-02,22,2024-06,Login Failure,Critical,DB-Server,EDR
2024-07-04 22:18:00,2024-07-04,27,2024-07,Policy Violation,High,Firewall,IDS
2024-06-13 01:11:00,2024-06-13,24,2024-06,Policy Violation,Medium,Firewall,Firewall
2024-08-18 19:38:00,2024-08-18,33,2024-08,Malware Detected,Low,Firewall,Firewall
2024-03-25 13:59:00,2024-03-25,13,2024-03,Port Scan,Critical,Endpoint,IDS
2024-12-17 04:35:00,2024-12-17,51,2024-12,Port Scan,Medium,Endpoint,Firewall
2024-04-13 21:20:00,2024-04-13,15,2024-04,Port Scan,Medium,Firewall,Firewall
2024-06-09 23:40:00,2024-06-09,23,2024-06,Policy Violation,Low,Web-Server,IDS
2024-06-13 15:42:00,2024-06-13,24,2024-06,Malware Detected,Low,Web-Server,SIEM
2024-03-30 22:39:00,2024-03-30,13,2024-03,Policy Violation,High,Endpoint,SIEM
2024-10-23 22:26:00,2024-10-23,43,2024-10,Login Failure,Low,DB-Server,EDR
2024-12-29 15:29:00,2024-12-29,52,2024-12,Login Failure,High,Firewall,EDR
2024-10-31 05:08:00,2024-10-31,44,2024-10,Port Scan,High,Firewall,Firewall
2024-12-03 08:31:00,2024-12-03,49,2024-12,Policy Violation,High,DB-Server,SIEM
2024-11-19 11:22:00,2024-11-19,47,2024-11,Policy Violation,Critical,Endpoint,IDS
2024-05-11 05:10:00,2024-05-11,19,2024-05,Port Scan,Critical,Web-Server,Firewall
2024-07-07 04:40:00,2024-07-07,27,2024-07,Malware Detected,Critical,Firewall,Firewall
2024-05-29 22:46:00,2024-05-29,22,2024-05,Login Failure,Critical,Endpoint,IDS
2024-09-01 15:30:00,2024-09-01,35,2024-09,Port Scan,High,Web-Server,EDR
2024-03-26 01:15:00,2024-03-26,13,2024-03,Port Scan,Low,Endpoint,Firewall
2024-11-25 08:16:00,2024-11-25,48,2024-11,Login Failure,Critical,Endpoint,Firewall
2024-05-30 17:12:00,2024-05-30,22,2024-05,Port Scan,High,Endpoint,IDS
2024-08-19 00:37:00,2024-08-19,34,2024-08,Port Scan,Low,Web-Server,SIEM
2024-07-04 20:40:00,2024-07-04,27,2024-07,Malware Detected,Medium,Web-Server,IDS
2024-03-03 17:39:00,2024-03-03,9,2024-03,Malware Detected,Low,DB-Server,IDS
2024-01-09 01:37:00,2024-01-09,2,2024-01,Malware Detected,Critical,Endpoint,Firewall
2024-12-04 02:29:00,2024-12-04,49,2024-12,Port Scan,High,Web-Server,Firewall
2024-06-12 22:38:00,2024-06-12,24,2024-06,Login Failure,Low,DB-Server,EDR
2024-06-14 19:03:00,2024-06-14,24,2024-06,Policy Violation,Low,Firewall,Firewall
2024-01-27 00:58:00,2024-01-27,4,2024-01,Port Scan,Low,Firewall,IDS
2024-01-18 16:47:00,2024-01-18,3,2024-01,Port Scan,Low,DB-Server,SIEM
2024-05-31 21:50:00,2024-05-31,22,2024-05,Malware Detected,Low,Web-Server,Firewall
2024-09-18 23:31:00,2024-09-18,38,2024-09,Policy Violation,Critical,Web-Server,Firewall
2024-07-16 22:08:00,2024-07-16,29,2024-07,Port Scan,Critical,DB-Server,Firewall
2024-01-23 02:39:00,2024-01-23,4,2024-01,Login Failure,Medium,Endpoint,IDS
2024-07-13 10:36:00,2024-07-13,28,2024-07,Port Scan,Critical,DB-Server,EDR
2024-02-16 11:57:00,2024-02-16,7,2024-02,Policy Violation,Critical,DB-Server,IDS
2024-03-03 18:26:00,2024-03-03,9,2024-03,Login Failure,Critical,Firewall,SIEM
2024-11-20 00:26:00,2024-11-20,47,2024-11,Malware Detected,Low,DB-Server,EDR
2024-10-01 08:43:00,2024-10-01,40,2024-10,Policy Violation,High,DB-Server,EDR
2024-10-28 20:58:00,2024-10-28,44,2024-10,Port Scan,Critical,Endpoint,IDS
2024-05-13 18:13:00,2024-05-13,20,2024-05,Login Failure,Critical,Endpoint,EDR
2024-01-22 22:34:00,2024-01-22,4,2024-01,Policy Violation,High,Web-Server,SIEM
2024-04-07 10:08:00,2024-04-07,14,2024-04,Policy Violation,Medium,Firewall,SIEM
2024-05-07 18:51:00,2024-05-07,19,2024-05,Malware Detected,Low,DB-Server,IDS
2024-10-08 23:12:00,2024-10-08,41,2024-10,Policy Violation,Medium,DB-Server,SIEM
2024-03-20 22:12:00,2024-03-20,12,2024-03,Policy Violation,High,Endpoint,Firewall
2024-03-29 03:44:00,2024-03-29,13,2024-03,Login Failure,Medium,Web-Server,Firewall
2024-09-26 21:26:00,2024-09-26,39,2024-09,Policy Violation,High,Web-Server,SIEM
2024-05-20 08:15:00,2024-05-20,21,2024-05,Policy Violation,Critical,DB-Server,SIEM
2024-09-15 18:07:00,2024-09-15,37,2024-09,Login Failure,Medium,DB-Server,Firewall
2024-04-22 16:40:00,2024-04-22,17,2024-04,Malware Detected,Critical,DB-Server,Firewall
2024-10-29 12:53:00,2024-10-29,44,2024-10,Port Scan,Low,Web-Server,IDS
2024-04-28 07:10:00,2024-04-28,17,2024-04,Policy Violation,Low,DB-Server,IDS
2024-08-19 17:16:00,2024-08-19,34,2024-08,Login Failure,Critical,Web-Server,SIEM
2024-05-27 06:01:00,2024-05-27,22,2024-05,Login Failure,Medium,Web-Server,SIEM
2024-10-03 07:57:00,2024-10-03,40,2024-10,Malware Detected,Critical,Web-Server,EDR
2024-10-17 10:51:00,2024-10-17,42,2024-10,Malware Detected,High,Endpoint,Firewall
2024-11-17 00:05:00,2024-11-17,46,2024-11,Port Scan,Low,Firewall,SIEM
2024-01-31 16:02:00,2024-01-31,5,2024-01,Login Failure,High,Firewall,Firewall
2024-12-29 08:35:00,2024-12-29,52,2024-12,Login Failure,Critical,DB-Server,IDS
2024-02-13 13:29:00,2024-02-13,7,2024-02,Login Failure,Medium,Endpoint,Firewall
2024-02-27 10:13:00,2024-02-27,9,2024-02,Policy Violation,Low,Firewall,Firewall
2024-04-02 12:03:00,2024-04-02,14,2024-04,Malware Detected,Low,DB-Server,EDR
2024-06-24 21:28:00,2024-06-24,26,2024-06,Policy Violation,High,DB-Server,Firewall
2024-12-29 01:59:00,2024-12-29,52,2024-12,Login Failure,High,Endpoint,EDR
2024-04-01 23:15:00,2024-04-01,14,2024-04,Policy Violation,High,Firewall,SIEM
2024-06-10 18:28:00,2024-06-10,24,2024-06,Malware Detected,Low,Web-Server,EDR
2024-11-26 14:04:00,2024-11-26,48,2024-11,Port Scan,Low,Web-Server,Firewall
2024-07-16 07:23:00,2024-07-16,29,2024-07,Login Failure,Critical,Web-Server,IDS
2024-08-08 04:52:00,2024-08-08,32,2024-08,Malware Detected,Medium,DB-Server,EDR
2024-12-17 22:23:00,2024-12-17,51,2024-12,Login Failure,Medium,Web-Server,EDR
2024-01-16 17:53:00,2024-01-16,3,2024-01,Policy Violation,Medium,Endpoint,EDR
2024-10-25 02:35:00,2024-10-25,43,2024-10,Malware Detected,High,Endpoint,SIEM
2024-04-25 12:27:00,2024-04-25,17,2024-04,Policy Violation,Critical,DB-Server,EDR
2024-11-06 08:38:00,2024-11-06,45,2024-11,Login Failure,Low,Endpoint,IDS
2024-11-01 14:21:00,2024-11-01,44,2024-11,Policy Violation,Low,Web-Server,Firewall
2024-09-28 02:35:00,2024-09-28,39,2024-09,Port Scan,Low,Endpoint,SIEM
2024-12-22 03:05:00,2024-12-22,51,2024-12,Malware Detected,Critical,Firewall,Firewall
2024-05-08 04:41:00,2024-05-08,19,2024-05,Policy Violation,Medium,Firewall,Firewall
2024-11-02 09:24:00,2024-11-02,44,2024-11,Login Failure,Medium,Web-Server,SIEM
2024-09-14 20:01:00,2024-09-14,37,2024-09,Malware Detected,Critical,DB-Server,IDS
2024-02-16 18:06:00,2024-02-16,7,2024-02,Policy Violation,High,Web-Server,SIEM
2024-05-30 05:19:00,2024-05-30,22,2024-05,Port Scan,Medium,Firewall,SIEM
2024-07-04 00:12:00,2024-07-04,27,2024-07,Policy Violation,Low,Web-Server,IDS
2024-03-13 17:23:00,2024-03-13,11,2024-03,Malware Detected,Low,Endpoint,SIEM
2024-03-31 23:06:00,2024-03-31,13,2024-03,Malware Detected,High,Firewall,EDR
2024-04-29 20:49:00,2024-04-29,18,2024-04,Malware Detected,Critical,Web-Server,EDR
2024-01-30 05:22:00,2024-01-30,5,2024-01,Port Scan,High,DB-Server,SIEM
2024-05-11 03:02:00,2024-05-11,19,2024-05,Policy Violation,Medium,Firewall,SIEM
2024-10-22 12:03:00,2024-10-22,43,2024-10,Malware Detected,High,DB-Server,EDR
2024-08-02 23:39:00,2024-08-02,31,2024-08,Malware Detected,Critical,Web-Server,EDR
2024-07-20 10:53:00,2024-07-20,29,2024-07,Login Failure,Low,Endpoint,Firewall
2024-12-13 20:52:00,2024-12-13,50,2024-12,Policy Violation,Low,Endpoint,SIEM
2024-03-07 19:25:00,2024-03-07,10,2024-03,Port Scan,Low,Web-Server,IDS
2024-05-16 08:04:00,2024-05-16,20,2024-05,Malware Detected,High,DB-Server,EDR
2024-08-03 17:42:00,2024-08-03,31,2024-08,Malware Detected,High,Web-Server,Firewall
2024-08-02 15:47:00,2024-08-02,31,2024-08,Port Scan,Medium,DB-Server,Firewall
2024-05-15 12:22:00,2024-05-15,20,2024-05,Port Scan,High,DB-Server,Firewall
2024-01-15 18:21:00,2024-01-15,3,2024-01,Port Scan,Low,Endpoint,EDR
2024-05-18 16:28:00,2024-05-18,20,2024-05,Policy Violation,Medium,Endpoint,Firewall
2024-09-02 10:53:00,2024-09-02,36,2024-09,Malware Detected,Critical,DB-Server,Firewall
2024-05-30 16:02:00,2024-05-30,22,2024-05,Port Scan,Low,Web-Server,IDS
2024-12-28 20:07:00,2024-12-28,52,2024-12,Port Scan,Critical,Firewall,Firewall
2024-07-24 01:39:00,2024-07-24,30,2024-07,Port Scan,Low,DB-Server,IDS
2024-05-28 19:03:00,2024-05-28,22,2024-05,Malware Detected,High,Firewall,SIEM
2024-08-13 08:35:00,2024-08-13,33,2024-08,Malware Detected,Low,Firewall,IDS
2024-01-06 09:09:00,2024-01-06,1,2024-01,Login Failure,Medium,Web-Server,EDR
2024-09-14 09:08:00,2024-09-14,37,2024-09,Login Failure,Medium,Web-Server,IDS
2024-01-06 07:56:00,2024-01-06,1,2024-01,Policy Violation,Critical,Endpoint,SIEM
2024-08-04 22:46:00,2024-08-04,31,2024-08,Port Scan,Low,Web-Server,Firewall
2024-05-31 21:15:00,2024-05-31,22,2024-05,Policy Violation,High,Endpoint,IDS
2024-09-01 21:42:00,2024-09-01,35,2024-09,Login Failure,High,Firewall,IDS
2024-07-29 20:12:00,2024-07-29,31,2024-07,Login Failure,Critical,DB-Server,SIEM
2024-03-04 13:24:00,2024-03-04,10,2024-03,Policy Violation,Medium,Firewall,Firewall
2024-01-31 23:56:00,2024-01-31,5,2024-01,Malware Detected,Critical,Web-Server,SIEM
2024-03-22 07:52:00,2024-03-22,12,2024-03,Port Scan,Critical,Firewall,Firewall
2024-07-07 11:42:00,2024-07-07,27,2024-07,Policy Violation,Critical,Firewall,IDS
2024-06-25 20:51:00,2024-06-25,26,2024-06,Malware Detected,Low,DB-Server,EDR
2024-11-27 05:31:00,2024-11-27,48,2024-11,Policy Violation,Low,DB-Server,IDS
2024-12-16 15:21:00,2024-12-16,51,2024-12,Malware Detected,Critical,Firewall,IDS
2024-11-25 22:31:00,2024-11-25,48,2024-11,Policy Violation,Low,Endpoint,Firewall
2024-02-24 12:47:00,2024-02-24,8,2024-02,Login Failure,Medium,Firewall,EDR
2024-06-19 10:55:00,2024-06-19,25,2024-06,Login Failure,Low,Firewall,IDS
2024-01-02 08:50:00,2024-01-02,1,2024-01,Policy Violation,High,Web-Server,SIEM
2024-03-14 07:35:00,2024-03-14,11,2024-03,Malware Detected,High,Firewall,IDS
2024-01-07 20:23:00,2024-01-07,1,2024-01,Login Failure,Critical,Firewall,IDS
2024-07-27 19:02:00,2024-07-27,30,2024-07,Malware Detected,Low,DB-Server,Firewall
2024-10-11 09:26:00,2024-10-11,41,2024-10,Port Scan,Low,Endpoint,EDR
2024-08-08 02:20:00,2024-08-08,32,2024-08,Port Scan,Low,Firewall,SIEM
2024-01-01 23:39:00,2024-01-01,1,2024-01,Port Scan,Critical,Endpoint,EDR
2024-10-26 21:06:00,2024-10-26,43,2024-10,Port Scan,Critical,Endpoint,EDR
2024-01-23 21:31:00,2024-01-23,4,2024-01,Port Scan,Medium,Firewall,Firewall
2024-01-18 11:21:00,2024-01-18,3,2024-01,Port Scan,Medium,Firewall,SIEM
2024-06-28 15:54:00,2024-06-28,26,2024-06,Policy Violation,Critical,Web-Server,IDS
2024-06-02 01:11:00,2024-06-02,22,2024-06,Login Failure,High,Web-Server,SIEM
2024-05-04 06:02:00,2024-05-04,18,2024-05,Policy Violation,Medium,Web-Server,Firewall
2024-10-11 11:50:00,2024-10-11,41,2024-10,Policy Violation,Low,DB-Server,EDR
2024-02-26 10:52:00,2024-02-26,9,2024-02,Port Scan,Critical,DB-Server,EDR
2024-02-11 09:22:00,2024-02-11,6,2024-02,Port Scan,Low,Endpoint,Firewall
2024-11-09 01:13:00,2024-11-09,45,2024-11,Port Scan,Critical,Web-Server,Firewall
2024-11-19 12:51:00,2024-11-19,47,2024-11,Login Failure,Medium,DB-Server,IDS
2024-03-28 11:35:00,2024-03-28,13,2024-03,Policy Violation,Critical,Endpoint,IDS
2024-08-13 23:56:00,2024-08-13,33,2024-08,Port Scan,Medium,Web-Server,Firewall
2024-01-20 15:59:00,2024-01-20,3,2024-01,Port Scan,Low,Web-Server,SIEM
2024-01-21 06:58:00,2024-01-21,3,2024-01,Malware Detected,Low,Endpoint,EDR
2024-01-11 06:14:00,2024-01-11,2,2024-01,Malware Detected,Critical,Web-Server,IDS
2024-04-19 19:36:00,2024-04-19,16,2024-04,Port Scan,High,Endpoint,EDR
2024-06-17 10:00:00,2024-06-17,25,2024-06,Login Failure,High,Firewall,Firewall
2024-07-29 09:49:00,2024-07-29,31,2024-07,Port Scan,High,Web-Server,SIEM
2024-10-06 21:20:00,2024-10-06,40,2024-10,Policy Violation,High,DB-Server,Firewall
2024-10-16 00:01:00,2024-10-16,42,2024-10,Policy Violation,Medium,DB-Server,SIEM
2024-02-05 08:23:00,2024-02-05,6,2024-02,Policy Violation,Critical,Web-Server,IDS
2024-06-21 15:26:00,2024-06-21,25,2024-06,Malware Detected,High,Endpoint,SIEM
2024-10-21 18:50:00,2024-10-21,43,2024-10,Malware Detected,High,Firewall,Firewall
2024-12-30 11:24:00,2024-12-30,1,2024-12,Login Failure,Critical,Firewall,SIEM
2024-10-19 19:04:00,2024-10-19,42,2024-10,Port Scan,Medium,DB-Server,IDS
2024-03-24 14:08:00,2024-03-24,12,2024-03,Policy Violation,Low,Firewall,SIEM
2024-12-08 04:11:00,2024-12-08,49,2024-12,Port Scan,High,DB-Server,EDR
